from,to,date,origin
41988,46009,16071130,Leesrest
30815,14704,16230906,Hastings
1810,44182,16170828,Wells
49081,39896,16650616,Plymouth
24913,34115,16700113,Deptford
7006,451,16530815,Leghorn
11172,33661,16900723,Whitehall
6930,42999,16720417,-
6978,24501,16271123,Westminster
14200,13045,16260121,-
5432,34115,16601023,"The Grantham, Yarmouth Roads"
3874,451,16530824,-
24431,43025,16720903,Dover Castle
2184,6978,16370704,-
40615,42999,16780502,Harwich
6979,48759,16840104,Whitehall
46438,45639,16621231,-
41530,11172,16920922,Portsmouth
42333,34115,16721029,Chatham
10612,27034,16510828,Whitehall
6979,9502,16730629,Whitehall
37407,42484,16251016,-
44589,34115,16650711,Hampton Court
38978,20912,16670410,Norwich
7109,42999,16690404,Hull
6156,42333,16720823,"The Barnaby, in the Hope"
47410,17691,16420315,-
451,42917,16940623,Admiralty Office
6979,27955,16641024,-
6035,451,16590201,Portsmouth
19394,11172,16930228,Dublin Castle
24445,19287,16650827,-
6979,42249,16791118,Whitehall
47720,42999,16661121,Norwich
11172,12474,16901103,Whitehall
44589,18912,16650420,-
51249,41287,16601017,"Council Chamber, Dublin"
42144,40180,16210303,-
43775,39896,16650704,-
24263,7746,16390128,-
7072,451,16950505,Whitehall
36389,46947,17100830,Szerents
16098,20912,16670405,Pembroke
18586,34115,16660214,Yarmouth Roads
3990,34115,16630910,Portsmouth
16434,41496,16290211,-
20945,43400,16130721,-
15009,43718,16830509,-
42651,41287,16270310,-
26528,40180,16401231,-
22636,42999,16720408,Dover
9737,29372,16441221,Derby House
40615,42999,16751223,Harwich
18859,7066,17080612,Lisbon
6979,11501,16710731,-
44520,40180,16180624,-
4010,34115,16520927,-
43025,6469,16830313,Whitehall
28315,43207,16810809,-
42651,17681,16280107,Dover Castle
42081,26324,16171221,-
6979,43291,16720430,Whitehall
43025,27440,16830522,Whitehall
40783,42999,16641119,Worcester House. [London]
6287,451,16580102,"The Assistance, Dunkirk Road"
34115,9295,16530614,-
53232,14200,16281114,-
44210,38454,16080915,-
40615,42999,16770918,Harwich
24701,20912,16720710,Southwold
46438,44881,16631031,-
42651,41287,16260123,Dover Castle
35362,44566,16120524,-
16434,6978,16250422,-
9683,41287,16260828,-
11172,451,16900707,Whitehall
10238,34115,16550312,-
41966,44566,16070625,Ashby
6979,28068,16730503,Whitehall
6975,14239,16030805,Chard
6979,45304,16851231,-
37299,42999,16780717,Yarmouth
4077,451,16550102,-
43979,5857,16651021,-
10580,40481,16380516,-
3989,39896,16680213,Portsmouth
7072,11737,16960516,Whitehall
39748,6979,16730731,-
24071,42999,16680416,-
43894,38454,16080611,London
40615,42999,16760926,Harwich
22488,20912,16660920,Bridlington
451,34651,16301031,-
52608,13045,16210916,-
43025,47989,16820805,Whitehall
15611,13045,16221230,-
44589,34115,16670520,-
20945,48670,16030708,-
22692,45059,17110713,-
14925,5138,16640427,London
19858,42999,16670416,Portsmouth
34115,451,16550302,-
42144,14200,16280519,-
42405,41287,16400511,-
25030,28027,17130314,-
48380,40180,16650216,Lisbon
10694,13045,16301215,-
