id,person_name
41988,Sir Henry Lee
30815,Mayor &amp;c. of Hastings
1810,"Arthur Lake, Bishop of Bath and Wells"
49081,Thomas Yeabsly
24913,Jonas Shish
7006,Charles Longland
11172,"Daniel Finch, Earl of Nottingham and Winchilsea"
6930,Charles Fisher
6978,Charles I
14200,"Edward Conway, Viscount Conway and Viscount Killultagh"
5432,Captain James Ableson
3874,"Capt. Jno. Taylor, Chatham"
24431,John Strode
2184,Balthazar Gerbier
40615,Silas Taylor
6979,Charles II
46438,The King
41530,Sir Francis Wheler
42333,Sir Jeremy Smith
10612,Council of State
37407,Richard Cottle
44589,Sir William Coventry
38978,Robert Scrivener
7109,Charles Whittington
6156,Captain T. Gardiner
47410,Thomas Barnsley
451,Admiralty
6035,Captain Robert Sansum
19394,"Henry Sidney, Earl of Romney"
24445,John Swaddell
47720,Thomas Corie
51249,William Bury
42144,Sir Isaac Wake
43775,Sir Robert Southwell
24263,"John Scudamore, Viscount Scudamore"
7072,"Charles Talbot, Duke of Shrewsbury"
36389,R&#x00E1;k&#x00F3;czy
16098,Francis Malory
18586,Habbakuk Wiles
3990,Capt. John Tippetts
16434,"Frederick, Elector Palatine"
20945,James I
15009,Elizabeth Whitaker
42651,Sir John Hippisley
26528,Leicester
22636,John Carlisle
9737,Committee and Commissioners of both kingdoms
18859,"Henri de Massue de Ruvigny, Earl of Galway"
44520,Sir William Beecher
4010,Capt. Jonathan Hide
43025,Sir Leoline Jenkins
28315,Loyal Apprentices
42081,Sir Henry Wotton
40783,Sir Allan Broderick
6287,Captain Thomas Sparling
34115,Navy Comrs
53232,Wyche
44210,Sir Thomas Meautys
24701,John Wickens
35362,Peter Catrall
9683,Commissioners of the Navy
10238,Comr. Peter Pett
41966,Sir Henry Hastings
6975,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham"
37299,Richard Bower
4077,Capt. Matthew Browne
43979,Sir Thomas Allin
10580,Council
3989,Capt. John Tinker
39748,Samuel Alston
24071,John Powell
43894,Sir Samuel Sultonstall
22488,John Bower
52608,"William Trumbull, Clerk of the Council"
15611,Filippo Burlamacchi
22692,"John Churchill, Duke of Marlborough"
14925,Elizabeth Elton
19858,Hugh Salesbury
42405,Sir John Bankes
25030,Joseph Durden
48380,Thomas Maynard
10694,Count Johan von Rusdorf
39501,Roger de Bellegarde
36110,"Prince Rupert, Count Palatine of the Rhine, Duke of Cumberland"
30036,Marquis De La Gallissonni&#x00C8;re
20443,J. Manley
27459,Lord Deputy and Council
11429,De Bacquoy
44195,Sir Thomas Littleton
47558,Thomas Bulstrode
35139,Patricius Curwen
44076,Sir Thomas Davies
39151,Robert Williams
41287,Sir Edward Nicholas
52556,William Swyer
48964,Thomas Wentworth
13044,Dudley Carleton Jun.
26525,Legat
36390,R&#x00E9;n&#x00E9; Augier
42999,Sir Joseph Williamson
26255,Lady Penelope Riche
23564,John Kirke
41223,Sir Edward Coke
39866,Samuel Larke
38454,"Robert Cecil, Earl of Salisbury"
41162,Sir Edmond Andros
47570,Thomas Burrows
5879,Captain Peter Motham
1564,Anthony Thorold
41059,Sir Clement Edmondes
8814,Colonel Thomas Middleton
43746,Sir Robert Naunton
5679,Captain John Tayler
20168,Isabel Warner
8864,Colonel Walter Slingsby
3684,Capt. Henry Hatsell
28247,Lords on the Admiralty
12561,Dr. John Burges
13499,Earl of Montrose
12853,Dr. Thomas Byrd
25874,Kenrick Edisbury
17218,"George Calvert, Baron Baltimore"
27440,Lord Deputy
25451,Justices of Peace for Co. Berks
48109,Thomas Holden
44566,Sir William Cecil
35853,Pinsen
42124,Sir Humphery Winche
40024,Sarpi
14591,Edward Southwell
18662,Hardy
10010,Committee of both Houses
39873,Samuel Lynn
43920,Sir Stephen Lesieur
13045,"Dudley Carleton, Viscount Dorchester"
42097,Sir Horace Vere
1846,Arthur Yeomans
29291,Majesty
40994,Sir Charles Hedges
20946,James II
44929,Smith
25167,Josiah Burchett
4647,Capt. William Badiley
11174,Daniel Fleming
40854,Sir Art. Hesilrigg
6412,Captain William Buxton
5463,Captain James Welsh
42569,Sir John Fenwick
38750,Robert Leigh
51965,"William Laud, Archbishop of Canterbury"
23359,John Hickes
26538,Lello
38098,Richard Watts
30753,Matthew Wren
30818,Mayor &amp;c. of Southampton
22991,John Evelyn
3157,C. Whitworth
24058,John Poortmans
8138,Colonel Carlos
22521,John Brangwin
23784,John Maurice
37952,"Richard Savage, Earl Rivers"
20991,James Magrath
6447,Captain William Marsh
5723,Captain Joseph Ames
27592,Lord Henry Percy
1628,Antony Hales
30211,Martin Laycock
17323,George Fox
43212,Sir Patrick Drummond
44813,Sir William Swan
19481,Henry Whitbrooke
5447,Captain James Lempriere
43613,Sir Robert Anstruther
14243,Edward Drake
13856,Edmund Palmer
19716,Holland
30730,Matthew Parker
17681,"George Villiers, Duke of Buckingham"
44285,Sir Thomas Roe
43578,Sir Richard Tichborne
35372,Peter Come Jans
39016,"Robert Spencer, Earl of Sunderland"
41452,Sir Francis Cottington
874,"Algernon Percy, Earl of Northumberland"
42787,Sir John Penington
12793,Dr. Samson Johnson
41300,Sir Edward Phelips
48452,Thomas Newman
10738,Count Tserclaes de Tilly
40875,Sir Arthur Hopton
32028,Montagu
48972,Thomas Wharton
40673,Simon Digby
24005,John Perriman
28290,Louis XIII
